smiles,frequency,length
CC1=CC(=O)CC1,1,13
COC(=O)c1ccccc1NC(C)=O,1,22
C=CCOC(=O)CCC1CCCCC1,1,20
CCOC(C)CC,1,9
CCCCCCOC(=O)CCC,1,15
C1CCC(SSC2CCCCC2)CC1,1,20
CC(=O)CCc1ccccc1,1,16
COc1cc(C(C)=O)cc(OC)c1O,1,23
CCCCCCC=CC=O,1,12
CC(=O)CCC=C(C)CCC=C(C)C,1,23
CCCCCCCc1ccco1,1,14
CCCCCc1ccco1,1,12
C=C(C)CC(C)=O,1,13
CSSSC,1,5
CC1=C(O)C(=O)C(C)O1,1,19
O=C(O)COc1ccccc1,1,16
CC(=O)CCc1ccc(OC(C)=O)cc1,1,25
COCCc1ccccc1,1,12
CC(CCO)CC(C)(C)C,1,16
C=CC(O)CCCCC,1,12
C=C1CCC2(C(C)C)CC12,1,19
CCCCC1CCCC(=O)O1,1,16
CCOC(=O)C1CCCCC1,1,16
CSCCC=O,1,7
CCc1ccco1,1,9
CC(C)C1CCC(O)CC1,1,16
CCCCc1ccco1,1,11
OCCC1CCCCC1,1,11
c1coc(CSSCc2ccco2)c1,1,20
O=C1CCC2CCCCC2O1,1,16
O=COC1CCCCC1,1,12
CCCCCCC1OCC(C)O1,1,16
CCCC(=O)Oc1ccccc1,1,17
Cc1cc2ccccc2o1,1,14
C=CCOC(=O)CCCCCCC,1,17
CCCCCCC(C)O,1,11
COC(=O)c1ccc(O)c(OC)c1,1,22
CCOC(=O)C(C)(C)C,1,16
CCCSC,1,5
CCCC(=O)C(C)=O,1,14
CCOC(CC(C)C)OCC,1,15
CCOC(=O)CCS,1,11
CCCCCCCC(=O)OC(C)C,1,18
CCCCCCC(=O)OCCCC,1,16
CC(CC=O)CC(C)(C)C,1,17
CCCCCCOC(C)OCCCCCC,1,18
O=C(O)CC1CCCCC1,1,15
CC(C)=CCOC(=O)c1ccccc1,1,22
C=CCCCCCC(C)=O,1,14
CCc1occc(=O)c1O,1,15
C=CC(O)CCCC,1,11
O=C1CCCC1C1CCCC1,1,16
CCCCCc1cccs1,1,12
C=CC(O)CCC,1,10
CCc1ccc(C=O)cc1,1,15
COC(=O)C1CCCCC1,1,15
CC(C)=CCCC(C)O,1,14
CCCCCC(=O)OCc1ccccc1,1,20
c1csc(SSc2cccs2)c1,1,18
CCCCCCOC(=O)c1ccccc1,1,20
CCCCC=CC=CC=O,1,13
CSCCSC,1,6
CCCCCCOC(=O)CCCCC,1,17
CCCCCCCCCCCCOC(=O)C(C)O,1,23
CCCCCCOC(=O)c1ccccc1O,1,21
CC(=O)OCCOc1ccccc1,1,18
CCCCCCCCCCC(C)=O,1,16
CCCC(C)O,1,8
CCCSSSCCC,1,9
C=C(C)C1CC=C(C)CC1,1,18
C=CC1(C)CCC(C(C)(C)O)O1,1,23
Cc1nccnc1C,1,10
CC(=O)CCc1ccc(O)cc1,1,19
C=C(C)C1CCC(C)CC1O,1,18
CCCCCCC(C)C=O,1,13
CCCCCCC(=O)OCC(C)C,1,18
CC(C)COC(=O)c1ccccc1N,1,21
CCCCCCCCCC(OC)OC,1,16
Nc1ccccc1C(=O)OC1CCCCC1,1,23
C=C(C)C1CCC(C)C(=O)C1,1,21
CCCCOC(=O)c1ccccc1N,1,19
CCOC(=O)CC(O)C(=O)OCC,1,21
C=CCOC(=O)COc1ccccc1,1,20
CC(=O)C(=O)C(C)C,1,16
CCCCOC(=O)C(C)OC(=O)CCC,1,23
CCOC(=O)C(C)CC,1,14
COc1ccccc1S,1,11
C=CC(C)(CCC=C(C)C)OC(=O)c1ccccc1N,1,33
CC(C)OC(=O)CCCCC(=O)OC(C)C,1,26
CCc1cnccn1,1,10
CC(=O)C(=O)CC(C)C,1,17
CC(C)(C)C1CCCCC1O,1,17
CC1=CCC2C(C1)C2(C)C,1,19
CCc1nc(C)cnc1C,1,14
CCc1cnc(C)cn1,1,13
C=CCCCCCCCCO,1,12
CCCCC(=O)C(C)C,1,14
CCCCCCCCCCCCC=O,1,15
C=CCc1ccc(OC(=O)Cc2ccccc2)c(OC)c1,1,33
CCOC(=O)C1CC2C=CC1C2,1,20
CCCC(=O)OC(C)(C)Cc1ccccc1,1,25
CCC(C)N,1,7
CCCCCCOC(=O)C(C)CC,1,18
C=CCc1ccc(OC=O)c(OC)c1,1,22
CCOc1ccc(C=O)cc1,1,16
CCC(C)(C)C1CCC(=O)CC1,1,21
C=CC(CCCCC)OC(=O)CCC,1,20
CC(=O)OC1CC(C)CCC1C(C)C,1,23
CC(C)=CC1CC(C)CCO1,1,18
CCc1cnc(C)c(C)n1,1,16
CCc1nccnc1CC,1,12
CCc1nccnc1C,1,11
CCc1nc(C)cs1,1,12
CC1(C)CCCC2(C)OC(=O)C=C12,1,25
Cc1cnc(C)c(C)n1,1,15
CCCCCC=CC(C)=O,1,14
C=CC1(C)CCC(O)C(C)(C)O1,1,23
C=Cc1cnc(C)cn1,1,14
CCc1ncc(C)nc1C,1,14
Cc1nccnc1CC(C)C,1,15
CCc1cncc(C)n1,1,13
CC(=O)OCCCc1ccccc1,1,18
CCC(=O)OCCc1ccccc1,1,18
CCC(=O)OCc1ccccc1,1,17
COc1cc(CCC(C)=O)ccc1O,1,21
CCCCOC(=O)Cc1ccccc1,1,19
CC(=O)c1cnc(C)cn1,1,17
CC(=O)c1cnccn1,1,14
CC(=O)OCCC1CCCCC1,1,17
CC(=O)OCCC(C)CCCC(C)C,1,21
C=C(C)C1CCC(C)C(OC(C)=O)C1,1,26
Cc1nc(C)c(C)o1,1,14
CC1CCCC2(C)CCCCC12O,1,19
CCCCCCCCC(C)C=O,1,15
C=CC(C)CCCC(C)(C)O,1,18
CCc1cnc(C)c(CC)n1,1,17
CCc1ncc(C)nc1CC,1,15
CCCCOC(C)=O,1,11
C=CCOC(=O)CCCCC,1,15
CCCCCC(=O)OCC,1,13
CC1OC(C)OC(C)O1,1,15
CC(C)CCO,1,8
Cc1cnc(C)cn1,1,12
CCCCCCCCC(=O)OCC,1,16
CCOC(=O)CCC(=O)OCC,1,18
CCCC(=O)CCC,1,11
CCCC(C)C=O,1,10
COc1ccc(C=O)cc1,1,15
CCc1ccc(O)cc1,1,13
OCCOc1ccccc1,1,12
OCCCc1ccccc1,1,12
COc1ccc(CC(C)=O)cc1,1,19
CC(=O)Oc1ccccc1,1,15
COc1ccccc1C,1,11
COc1nccnc1C(C)C,1,15
CCc1nccnc1OC,1,12
COc1nccnc1CC(C)C,1,16
CC1NCCS1,1,8
CC(=O)c1nccnc1C,1,15
CC1SSC(C)S1,1,11
CCC(=O)OCCOc1ccccc1,1,19
CC1(C)C2CC=C(CCO)C1C2,1,21
C=CC(C)(CCC=C(C)C)OC(=O)c1ccccc1,1,32
CCCCCCCCCCCCCC=O,1,16
CCCCCCCCC=O,1,11
CCCCCCCCCCCCCC(=O)OC,1,20
CCCCCCCCCCCCCC(=O)OCC,1,21
CCCCCCCCCCCCCCCCCC(=O)OCCCC,1,27
CC(=O)OCCC(C)C,1,14
CCCCCCCCCCCCCCC(=O)OCC,1,22
CCCCCCCCCCCCCCCCOC(=O)C(C)O,1,27
CCC=CCCOC(=O)CC(C)C,1,19
c1cnc2c(n1)CCCC2,1,16
CCc1cnc(CC)c(C)n1,1,17
CC(=O)OC1CCC(C(C)(C)C)CC1,1,25
C=Cc1cc(OC)c(O)c(OC)c1,1,22
CC(=O)CCC1C(C)=CCCC1(C)C,1,24
CCC(=O)C1CC(C(C)C)CC=C1C,1,24
CCCSSCC,1,7
C=C(C)C1CCC(C)CC1=O,1,19
CC(C)c1cnccn1,1,13
Cc1occc1S,1,9
CCC=CCCC=CCO,1,12
CCCCCc1cccc(=O)o1,1,17
CC(S)S,1,6
CCCCC(=O)C(C)=O,1,15
CCOC(=O)c1ccc(OC)cc1,1,20
CC(C)CC(=O)OC1CC2CCC1(C)C2(C)C,1,30
CC1=NC(C)OC1,1,12
CC(C)=CCOC(=O)c1ccccc1O,1,23
CSSc1ccoc1C,1,11
CCCSSc1ccoc1C,1,13
CCCC(=O)OC(C)CCC,1,16
CCCCCCCC(=O)Oc1ccc(C)cc1,1,24
CC(=O)OCCC(C)CC(C)(C)C,1,22
Cc1cc(SC(=O)CC(C)C)c(C)o1,1,25
Cc1cc(S)c(C)o1,1,14
CCc1scnc1C,1,10
CCCCCC1CC=CC(=O)O1,1,18
C=CCCCCCCCCOC(C)=O,1,18
CCCCCCCCC(=O)OCCCC,1,18
C=CCCCCCCCCC(=O)OCCCC,1,21
CCCCCCCCOC(=O)C(C)C,1,19
CC(C)=CC=O,1,10
CC(C)=CCCC(C)C=O,1,16
CCCCCCCCCCCC(=O)OCCCC,1,21
O=C1CCCCCCCCCCCC(=O)OCCO1,1,25
O=COCCCc1ccccc1,1,15
COc1ccc(CCC(C)=O)cc1,1,20
Cc1ccc(CC=O)cc1,1,15
CC(C)C(=O)OCCOc1ccccc1,1,22
O=C(Cc1ccccc1)OCc1ccccc1,1,24
CC(C)COC(=O)Cc1ccccc1,1,21
Cc1ccc(OC(=O)Cc2ccccc2)cc1,1,26
COC(Cc1ccccc1)OC,1,16
Cc1ccc(C(C)C=O)cc1,1,18
CC(C)=CCCC(C)CCOC(=O)C(C)C,1,26
C=CC(C)(CCC=C(C)C)OC(=O)CC,1,26
CCCCCCCCOC(=O)CC,1,16
C=C(C)CCCC(C)CCOC(=O)CCC,1,24
C=C(C)CCCC(C)CCOC=O,1,19
C=C(C)CCCC(C)CCOC(=O)C(C)C,1,26
CC1(C)C2CCC1(C)C(O)C2,1,21
COc1ccc(COC=O)cc1,1,17
CCC(=O)OCCCc1ccccc1,1,19
CCCCCCCCOC(=O)Cc1ccccc1,1,23
CC(C)COC(=O)c1ccccc1,1,20
Cc1cccc(C)c1S,1,13
CC1=C(C=O)C(C)(C)CC=C1,1,22
C=CC(C)(CCC=C(C)C)OC=O,1,22
C=CCCCCCCCCCOC(C)=O,1,19
CCCCCCCCCC(C)C=O,1,16
CCCCCCCCOC(=O)CCC,1,17
CCC(=O)OCC1CCCO1,1,16
CCCCCCOC=O,1,10
CCSC(C)=O,1,9
CCCC(=O)OCc1ccco1,1,17
CCC(=O)OCc1ccco1,1,16
Cc1ccccc1OC(=O)c1ccccc1O,1,24
COc1ccccc1OC(C)=O,1,17
C=Cc1ccccc1OC,1,13
COC(=O)c1ccccc1OC,1,17
C=CCCC(=O)O,1,11
CCCCOC(=O)CCCC,1,14
CCCCOCc1ccccc1,1,14
CC1(C)C2CC=C(C=O)C1C2,1,21
CC1=CC(O)C2CC1C2(C)C,1,20
CC12CCCC(O)(C1)C1CC(C)(C)C1CC2,1,30
CC1=C(CC=O)C(C)(C)CCC1,1,22
C=CCOC=O,1,8
CC(C)=CC1CC(C)=CCO1,1,19
CSc1ccccc1O,1,11
CCC(=O)c1ccc[nH]1,1,17
O=C1CCSC1,1,9
CC(=O)c1cccn1C,1,14
CCCCCCC(=O)CC,1,13
COc1cc(C=O)ccc1OC(C)=O,1,22
CC1CCC(=O)C1=O,1,14
CCCCCCC1CCCC(=O)O1,1,18
CCCC(O)Cc1ccccc1,1,16
Cc1ccc(C=O)c(O)c1,1,17
CCC1OC(=O)C(O)=C1C,1,18
CC(=O)OCCc1scnc1C,1,17
CCCCCCCC(=O)OCCCCC,1,18
CCCC(=O)OC(C)C,1,14
O=Cc1cc2ccccc2o1,1,16
C=CCOC(=O)c1ccco1,1,17
COc1ccccc1OC(=O)Cc1ccccc1,1,25
COC1=C(C)OC(C)C1=O,1,18
C=CCOC(=O)CC,1,12
CCCC=CC(=O)OC,1,13
CCCCCCCOC(=O)C(C)C,1,18
CCCCCCCCCCCCCC(C)=O,1,19
CC(O)CCc1ccccc1,1,15
CC(=O)CC(=O)OCCC(C)C,1,20
CCCSC(C)=O,1,10
CCCCCCCCOC(=O)CCCCCCC,1,21
CCCC(O)CC(=O)OCC,1,16
COC(=O)CC(C)CCC=C(C)C,1,21
CC1=CCC(CCO)C1(C)C,1,18
CC(C)SCc1ccco1,1,14
C=CCOC(=O)C(CC)CC,1,17
C=CCOC(=O)CCCCC1CCCCC1,1,22
C=CCOC(=O)CCCCCC1CCCCC1,1,23
C=CCOC(=O)CCCC1CCCCC1,1,21
CCCCCCCCC(=O)C(C)=O,1,19
CCCOC(C)OCCc1ccccc1,1,19
CC(C)=C(C)C(=O)OCc1ccccc1,1,25
CC(C)=CCCC(C)CCOCC=O,1,20
C=Cc1ccc(OC)c(OC)c1,1,19
CCCCCCCCCCCC(=O)OCCC(C)C,1,24
CCCCCC(=O)OCCc1ccccc1,1,21
CCC(=O)OC1CCCCC1,1,16
CCCCC1OC(=O)c2ccccc21,1,21
CC(C)c1ccc(CC=O)cc1,1,19
C=CC(=O)CCCCC,1,13
CCCCCCCOC(=O)CCCCCCC,1,20
CCCCCCC(OC)OC,1,13
CCOC(=O)CCCc1ccccc1,1,19
CCCCCCC#CC(=O)OCC,1,17
CCOC(=O)CCc1ccco1,1,17
CCC(CC)COC(C)=O,1,15
CCCC(=O)OC(CC)c1ccccc1,1,22
CC(C)C(=O)OC(C)(C)CCc1ccccc1,1,28
C=CC(C)(CCC=C(C)C)OC(=O)CCCCCCC,1,31
CCCCCCCCCCCC(=O)Oc1ccc(C)cc1,1,28
CCCCCCCC(OC)OC,1,14
CCCCC(=O)OC1CC2CCC1(C)C2(C)C,1,28
CCC(=O)OCc1ccc(OC)cc1,1,21
CCCCC(=O)OCCC(C)CCC=C(C)C,1,25
CCCCCCC(=O)OCCCCC,1,17
C=CCCCCCCCCC(=O)OCC=C,1,21
C=CCOC(=O)CCCCCCCC,1,18
CSc1ccc(C)o1,1,12
CCC(=O)CSC,1,10
Cc1nc(C)c(C)s1,1,14
COC(=O)CCSC,1,11
CC1CC(C)C(=O)C1=O,1,17
CCOC(=O)CCSC,1,12
CCOCc1ccc(O)c(OC)c1,1,19
CC(=O)c1cc(C)oc1C,1,17
CCCCCCCCC#CC(=O)OC,1,18
OCCCCCc1ccccc1,1,14
C=C(C)CCCC(C)CCOC(=O)Cc1ccccc1,1,30
CCC(C)(O)CCc1ccccc1,1,19
CCOC(=O)CCC1CCCCC1,1,18
CC(C)(Cc1ccccc1)OC=O,1,20
CCCCCCC1CC(OC(C)=O)CO1,1,22
CCCCCCOC(=O)CC(C)C,1,18
C=C(C)C1CC=C(COC(C)=O)CC1,1,25
CCC(C)C1CCCCC1=O,1,16
CC1=CCC(C(C)(C)OC(=O)c2ccccc2N)CC1,1,34
C=CCCCCCCCC(=O)O,1,16
CCCCCC(=O)c1ccco1,1,17
CC(C)Cc1cccnc1,1,14
Cc1cnc(C(C)C)cn1,1,16
Cc1cccc2nccnc12,1,15
C=CC1(C)CCC(C(=C)C)O1,1,21
CC1SCCC1=O,1,10
Cc1ccc(C=O)s1,1,13
CSC(=O)c1ccco1,1,14
COCc1ccco1,1,10
CC(=O)SCc1ccco1,1,15
c1coc(CSCc2ccco2)c1,1,19
CC(C)CC(=O)OCc1ccco1,1,20
CC(C)=C1CCC2(C)OC2C1=O,1,22
CC(=O)CCS,1,9
CC1=CC2=CC(=O)CCC2CC1,1,21
C=CCSSSC,1,8
CSCCC(C)=O,1,10
CCc1nccnc1C(C)=O,1,16
CC(C)CC(=O)OC(C)C,1,17
CCCCCC=CCCC=O,1,13
CCCCCCC1CCCCC(=O)O1,1,19
CCCCCCCC1CC=CC(=O)O1,1,20
CCC(S)CS,1,8
Cc1ccc(C=O)c(C)c1,1,17
CCCCOC(=O)C(C)CC,1,16
CCOc1nccs1,1,10
Cc1csc(C(C)C)n1,1,15
C=C(COC(C)=O)C1CC=C(C)CC1,1,25
CSCCCC=O,1,8
CC(C)=CC(=O)OCCc1ccccc1,1,23
C=CCSC(=O)CC,1,12
CCCCCCCC1CC(C)OC1=O,1,19
CC(=O)CCSCCC(C)=O,1,17
CCn1cccc1C(C)=O,1,15
CCCCCCCC(=O)OCc1ccco1,1,21
CCCCCCOC(=O)c1ccco1,1,19
CCNc1ccccc1C(=O)OCC,1,19
COc1cnc(C)s1,1,12
CC=C(C)C(=O)OCc1ccccc1,1,22
CCCCC(=O)OCc1ccco1,1,18
Cc1ccccc1OC(=O)C(C)C,1,20
CC1=CCCC(C)(C)C12CCC(C)O2,1,25
Cc1ncc2c(n1)CSC2,1,16
SCCc1cnccn1,1,11
CCCCC(=O)C(CCC)Sc1ccoc1C,1,24
C=C=CC(C)C(=O)OCC,1,17
CCCCCC(CO)C(C)=O,1,16
SCc1cnccn1,1,10
O=CSCc1ccco1,1,12
CCC(=O)SCc1ccco1,1,16
CSSCc1ccco1,1,11
CC(=O)OC12CCCC(C)(CCC3C1CC3(C)C)C2,1,34
CC(C)C1=CCC(C(=O)O)CC1,1,22
CC(=O)CCc1ccc2c(c1)OCO2,1,23
C=C(C)C1CCC(C)C1C=O,1,19
Cc1ccc(OC(=O)CC(C)C)cc1,1,23
CC(O)C(C)SC(C)C(C)S,1,19
CCc1nc(C)c(C)o1,1,15
CC(=O)OC1(C(C)=O)CCCCC1,1,23
CCOC(=O)c1ccoc1-c1ccccc1,1,24
C=C(C)c1ccc(C)cc1,1,17
CCCCCC1=C(C)CCC1=O,1,18
COC(OC)c1ccccc1,1,15
CC1=CC(=O)CC(C)(C)C1=O,1,22
C=CCc1ccc(OC(=O)c2ccccc2)c(OC)c1,1,32
CSCCCN=C=S,1,10
CC1CCC(C(C)C)OC(=O)C1,1,21
COc1cc(CO)ccc1O,1,15
COC(OC)C(C)c1ccccc1,1,19
CC(=O)OC1CCCCC1C(C)(C)C,1,23
O=C(OCCc1ccccc1)c1ccccc1O,1,25
CCC(=O)OC(C)(C)C1CC=C(C)CC1,1,27
CC(S)C(=O)O,1,11
C=CC(C)(CCC=C(C)C)OC(=O)CCC,1,27
C=C(CCCCC)C(C)=O,1,16
Cc1occc1SC(C(=O)CC(C)C)C(C)C,1,28
CCCCCCCCCCCC(=O)OCCCCC,1,22
CC(C)OC(=O)Cc1ccccc1,1,20
CCC(=O)C(=O)CC,1,14
Cc1ncsc1C,1,9
c1ccc(CCCC2CCCO2)cc1,1,20
CCC(O)C(C)=O,1,12
CCOC(=O)C(CC)Cc1ccccc1,1,22
CCc1ccc(O)c(OC)c1,1,17
C=Cc1ccc(O)cc1,1,14
CCCCCCCCC=CC=O,1,14
CCC(C)COC(=O)CC(C)C,1,19
CCCC(=O)SC,1,10
C=CCSSC,1,7
CCCCCOC(=O)CCCC,1,15
CCCC(C)S,1,8
CC1(C)C2CCC1(C)C(OC=O)C2,1,24
CCCC(C)C(=O)OCC,1,15
CCCCCCCCOC(=O)c1ccco1,1,21
CCCCC1OC(=O)CC1C,1,16
C=C(C)c1cnccn1,1,14
CCCCOC(C)OCCc1ccccc1,1,20
CC1=C(O)C(=O)OC1C,1,17
CCC1=C(O)C(=O)CC1,1,17
CC(C)Cc1nccs1,1,13
CC(C)CC(O)Cc1ccccc1,1,19
CC(C)c1ccc(CCC=O)cc1,1,20
CCCCCCCOC(=O)CCC,1,16
CCCCC1CCCCC(=O)O1,1,17
CC(C)C(=O)OCc1ccc2c(c1)OCO2,1,27
CC(C)CC(=O)OCCCc1ccccc1,1,23
CCCCCCOC(=O)C(C)(C)C,1,20
CCOC(=O)CC(C)O,1,14
CCCCCCCCOC(=O)c1ccccc1,1,22
Cc1ccc2c(c1)CCCN2,1,17
CCC(=O)OC1=C(C)CCC1=O,1,21
CCOc1ccc2c(C)cc(=O)oc2c1,1,24
CCCCC(=O)OCC(C)C,1,16
C=CCSC,1,6
CC1CCC2C(C)(C)C3CC12CCC3(C)O,1,28
CCC1CC(C)=C(O)C1=O,1,18
COC(=O)CCCSC,1,12
CCCC(CCO)SC,1,11
CC(=O)C1(C)CC=C(C)CC1,1,21
CCC(=O)c1nccs1,1,14
CC(C=O)Cc1ccc2c(c1)OCO2,1,23
CCC1CCC(CC)O1,1,13
CC(C=O)CCc1ccccc1,1,17
COC(=O)C(O)CC(C)C,1,17
COc1ccccc1CO,1,12
CCCOC(=O)c1ccccc1O,1,18
CC(C)CN=C=S,1,11
O=C(Nc1ccccc1C(=O)O)c1ccccc1,1,28
COc1ccccc1C(C)=O,1,16
CC(=O)n1ccc2ccccc21,1,19
C=CC(C)(C)C(=O)C=C(C)C,1,22
C=CCc1ccc(O)cc1,1,15
C=C(CCC=C(C)C)C1CC=C(C)CC1,1,26
C1SSCSSS1,1,9
CCCCC(=O)OCCC,1,13
Cc1cccc(OC(=O)Cc2ccccc2)c1,1,26
CCOc1ccc(C=O)cc1OC,1,18
CCCCCCC(=O)OCCC(C)C,1,19
CCCOC(C)OCCC,1,12
CCCCCCC1=CCCC1=O,1,16
CC(C)C(=O)OC1CCCCC1,1,19
CCCCCCOC(=O)CCCC,1,16
CC(C)(C=O)Cc1ccccc1,1,19
CCCCCCCCc1cccs1,1,15
C=CCCCCO,1,8
CCOC(OCC)c1ccccc1,1,17
COc1ccc(C=O)c(O)c1,1,18
CC(C)c1ccccn1,1,13
OCc1cccs1,1,9
CCCCCN=C=S,1,10
COC(=O)CCC(C)=O,1,15
CCCCCCCC(=O)OCCC,1,16
CCCCCCCOC(=O)CCCCCC,1,19
CCCCCC(=O)CCCC(=O)O,1,19
CCCc1ccccn1,1,11
CCC(S)CC,1,8
C=CCCC(=O)OCC,1,13
Cc1ccc(Oc2ccccc2)cc1,1,20
CCc1ccc(C)o1,1,12
CCOC1(OCC)CCCCC1,1,16
COc1ccccn1,1,10
CCC=C(C)C(=O)OCC,1,16
CCCCCC(OC)OC,1,12
C=CCCCOC(C)=O,1,13
CCCCCOC(=O)c1ccco1,1,18
CCOc1ccc(C)cc1,1,14
CCCCc1cccs1,1,11
CCCCC(=O)OC1CCCCC1,1,18
CSC(C)=O,1,8
CCc1ccc(OC)cc1,1,14
CC(C)COC(Cc1ccccc1)OCC(C)C,1,26
CCCCCCc1ccccn1,1,14
OCCCCc1ccccc1,1,13
COc1cc(C)cc(O)c1,1,16
CSc1nccnc1C,1,11
Cc1sccc1S,1,9
CCCCCOC(=O)C(C)C,1,16
C=CCSSSSCC=C,1,12
O=C(OC1CCCCC1)c1ccccc1,1,22
CC(C)=CCCC(C)CC=O,1,17
CCCCCCCCCC(=O)OCCCCCCCC,1,23
CCCCCCCCCC(=O)OCCC(C)C,1,22
CC(C)N=C=S,1,10
CC(=O)OCc1ccc(C)cc1,1,19
COc1ccc(C(OC)OC)cc1,1,19
O=CCOc1ccccc1,1,13
CC(C)CCSSCCC(C)C,1,16
CCCCC(=O)OCCC(C)C,1,17
CCCc1cccnc1,1,11
CCOC(=O)CSC,1,11
CSCCCCN=C=S,1,11
SCCc1ccccc1,1,11
CCCCCCN=C=S,1,11
CC(C)SSC(C)C,1,12
C=Cc1cnccn1,1,11
Cc1cnc(C)s1,1,11
O=CCS,1,5
CSCCCN,1,6
Cc1ccccc1SSc1ccccc1C,1,20
CCCCCCCCSC,1,10
CCCCCC(OCC)OCC,1,14
CCSSSCC,1,7
Cc1nccs1,1,8
C=CCCN=C=S,1,10
CCCCC(=O)OCCCc1ccccc1,1,21
CCCCCCCOC(=O)CCCC,1,17
CCCCCCCCCCOC=O,1,14
C=CCCCCCCCCC(=O)OCC(C)C,1,23
CC1(C)COC(C)(c2ccccc2)OC1,1,25
SCCCCS,1,6
CCCCOC(C)OCCCC,1,14
Cc1cscc1C,1,9
CC(C)CCN=C=S,1,12
CC1=C(O)C(=O)C(C(C)C)CC1,1,24
CCCCC(=O)OC1CC(C)CCC1C(C)C,1,26
CSCCO,1,5
C=C(C)CCOC(C)=O,1,15
CCCCc1ccccn1,1,12
CCCCCCOC,1,8
COC(=O)c1c(C)cc(O)c(C)c1O,1,25
C=CCOC(=O)CCCC,1,14
CCOC(Cc1ccccc1)OCC,1,18
CCOCc1ccco1,1,11
CC(C)C(=O)OCc1ccco1,1,19
SCc1cccs1,1,9
CCCCCC(=O)OC1CCCCC1,1,19
CCCCCCCCCCCCOC(=O)CC,1,20
CC(=O)OC1CCCCCCCCCCC1,1,21
CC(C)SSSC(C)C,1,13
CSC(=O)c1ccccc1,1,15
CCCCCC(C)OC(C)=O,1,16
CSSSSC,1,6
COc1ccc(CC=O)cc1,1,16
CCCCCCCC(=O)OCC(C)C,1,19
CCCCCCCCCCCOC(=O)CCC,1,20
CCCCCCC(=O)OCCc1ccccc1,1,22
COC(=O)c1ccccc1N(C)C,1,20
CC12CCC(C1)C(C)(C)C2=O,1,22
Sc1ccsc1,1,8
CCCCC(=O)OCCc1ccccc1,1,20
CC(=O)CC(C)(C)c1ccccc1,1,22
CCCCCCCC=CC(=O)OC,1,17
CCOC(=O)c1ccccc1OC,1,18
CCCCCCCOC(=O)CCCCC,1,18
CC(=O)CCC(=O)OCc1ccccc1,1,23
C=C(C)CCCC(C)CCO,1,16
COc1ccc(C)cc1C,1,14
CCCCCCCCC(=O)OCCCCCC,1,20
CCCCCCCCC(=O)OCCC,1,17
CCCCCCCCC(=O)OCc1ccccc1,1,23
CCOC(=O)CC1(C)OCCO1,1,19
COc1cc(C(C)C)ccc1C,1,18
CC(C)=CCc1occc1C,1,16
CCCCCCCCCCCC(OC)OC,1,18
CCCC(=O)Oc1ccc(C)cc1,1,20
CSSc1ccccc1,1,11
CCCC=CC(=O)CC,1,13
CC(=O)c1ccc(C)s1,1,16
CC(=O)c1sccc1C,1,14
CCOC(OCC)c1ccco1,1,16
CC(C)CCCC(C)(C)O,1,16
CC(C)CCOC(C)OCCC(C)C,1,20
CCCCOc1ccc2ccccc2c1,1,19
CCCCCCCCCC(=O)OCCCCCC,1,21
CCCCC(=O)OCc1ccccc1,1,19
CCCCCCCC(=O)OCc1ccccc1,1,22
CC(=O)OC(CC(C)C)CC(C)C,1,22
O=C(CCO)OCCc1ccccc1,1,19
CC1=CCC(C(C)CO)CC1,1,18
CCC(C)CCCC(C)(C)O,1,17
CCC(C)(O)CCC=C(C)C,1,18
CC(C)CC1OCC(C)O1,1,16
CC1C(=O)C2CC1C(C)(C)C2,1,22
CCC(=O)OC1CC2CC1C1CC=CC21,1,25
CCC1(C)CC(=O)C(C)=C(C)C1C,1,25
COC(C)(C)C1CC=C(C)CC1,1,21
CC1=CC(=O)C(C)O1,1,16
COC(=O)CSC,1,10
CCOC(CCSC)OCC,1,13
CCCC(=O)OCCCSC,1,14
CSCCCOC(C)=O,1,12
CCCc1nccnc1C,1,12
CCc1cnc(CC)s1,1,13
CCc1nccs1,1,9
CCCC(CC(=O)OCC)OC(C)=O,1,22
CCCC(CC(=O)OC)OC(C)=O,1,21
CCCCCC(CC)OC(=O)CCC,1,19
CCCCCCOC(=O)CC,1,14
CC(=O)CC(C)(C)S,1,15
CC(=O)OC(C)CCC=C(C)C,1,20
CCCCCCCCC(OC)OC,1,15
CCCCCCc1cccs1,1,13
CCSCCCO,1,7
CCCCCCCC=CCO,1,12
CCCCC(=O)OC(C)C,1,15
CCCc1cnccn1,1,11
C=CCCCN=C=S,1,11
CCCc1nccs1,1,10
CC(C)CCOC(=O)C(C)O,1,18
CCCCCC1COCCC1OC(C)=O,1,20
CCCOC(=O)C(C)O,1,14
CC(C)COC(=O)C(C)O,1,17
CC(C)C1C=CC(=O)CC1,1,18
C=CC1(C)CCC(C(C)(C)O)CC1C(=C)C,1,30
CCC=CC=CC=CC=O,1,14
CC(C)CCOCCc1ccccc1,1,18
CCCCCCCOC(=O)CC(C)C,1,19
CC(C)(O)CCCC1=CCC(C=O)CC1,1,25
CC1(C)C2CC3OC3(C)C1C2,1,21
C=C(C)C1CCC2(C)OC2C1,1,20
CC(=O)C1CCCC(C)(C)C1,1,20
CC1(S)CCC2CC1C2(C)C,1,19
CCCCCC(O)CCO,1,12
CSC(=O)CC(C)C,1,13
C=CC(O)CCCCCC,1,13
